PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
121,0,2,"Hickman, Mr. Stanley George",1,21,2,0,S.O.C. 14879,73.5,0,1
122,0,3,"Moore, Mr. Leonard Charles",1,0,0,0,A4. 54510,8.05,0,1
123,0,2,"Nasser, Mr. Nicholas",1,32.5,1,0,237736,30.0708,0,2
124,1,2,"Webber, Miss. Susan",2,32.5,0,0,27267,13,5,1
125,0,1,"White, Mr. Percival Wayland",1,54,0,1,35281,77.2875,4,1
126,1,3,"Nicola-Yarred, Master. Elias",1,12,1,0,2651,11.2417,0,2
127,0,3,"McMahon, Mr. Martin",1,0,0,0,370372,7.75,0,3
128,1,3,"Madsen, Mr. Fridtjof Arne",1,24,0,0,C 17369,7.1417,0,1
129,1,3,"Peter, Miss. Anna",2,0,1,1,2668,22.3583,6,2
130,0,3,"Ekstrom, Mr. Johan",1,45,0,0,347061,6.975,0,1
131,0,3,"Drazenoic, Mr. Jozef",1,33,0,0,349241,7.8958,0,2
132,0,3,"Coelho, Mr. Domingos Fernandeo",1,20,0,0,SOTON/O.Q. 3101307,7.05,0,1
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",2,47,1,0,A/5. 3337,14.5,0,1
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",2,29,1,0,228414,26,0,1
135,0,2,"Sobey, Mr. Samuel James Hayden",1,25,0,0,C.A. 29178,13,0,1
136,0,2,"Richard, Mr. Emile",1,23,0,0,SC/PARIS 2133,15.0458,0,2
137,1,1,"Newsom, Miss. Helen Monypeny",2,19,0,2,11752,26.2833,4,1
138,0,1,"Futrelle, Mr. Jacques Heath",1,37,1,0,113803,53.1,3,1
139,0,3,"Osen, Mr. Olaf Elon",1,16,0,0,7534,9.2167,0,1
140,0,1,"Giglio, Mr. Victor",1,24,0,0,PC 17593,79.2,2,2
141,0,3,"Boulos, Mrs. Joseph (Sultana)",2,0,0,2,2678,15.2458,0,2
142,1,3,"Nysten, Miss. Anna Sofia",2,22,0,0,347081,7.75,0,1
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",2,24,1,0,STON/O2. 3101279,15.85,0,1
144,0,3,"Burke, Mr. Jeremiah",1,19,0,0,365222,6.75,0,3
145,0,2,"Andrew, Mr. Edgardo Samuel",1,18,0,0,231945,11.5,0,1
146,0,2,"Nicholls, Mr. Joseph Charles",1,19,1,1,C.A. 33112,36.75,0,1
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",1,27,0,0,350043,7.7958,0,1
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",2,9,2,2,W./C. 6608,34.375,0,1
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",1,36.5,0,2,230080,26,6,1
150,0,2,"Byles, Rev. Thomas Roussel Davids",1,42,0,0,244310,13,0,1
151,0,2,"Bateman, Rev. Robert James",1,51,0,0,S.O.P. 1166,12.525,0,1
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",2,22,1,0,113776,66.6,3,1
153,0,3,"Meo, Mr. Alfonzo",1,55.5,0,0,A.5. 11206,8.05,0,1
154,0,3,"van Billiard, Mr. Austin Blyler",1,40.5,0,2,A/5. 851,14.5,0,1
155,0,3,"Olsen, Mr. Ole Martin",1,0,0,0,Fa 265302,7.3125,0,1
156,0,1,"Williams, Mr. Charles Duane",1,51,0,1,PC 17597,61.3792,0,2
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",2,16,0,0,35851,7.7333,0,3
158,0,3,"Corn, Mr. Harry",1,30,0,0,SOTON/OQ 392090,8.05,0,1
159,0,3,"Smiljanic, Mr. Mile",1,0,0,0,315037,8.6625,0,1
160,0,3,"Sage, Master. Thomas Henry",1,0,8,2,CA. 2343,69.55,0,1
161,0,3,"Cribb, Mr. John Hatfield",1,44,0,1,371362,16.1,0,1
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",2,40,0,0,C.A. 33595,15.75,0,1
163,0,3,"Bengtsson, Mr. John Viktor",1,26,0,0,347068,7.775,0,1
164,0,3,"Calic, Mr. Jovo",1,17,0,0,315093,8.6625,0,1
165,0,3,"Panula, Master. Eino Viljami",1,1,4,1,3101295,39.6875,0,1
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",1,9,0,2,363291,20.525,0,1
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",2,0,0,1,113505,55,5,1
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",2,45,1,4,347088,27.9,0,1
169,0,1,"Baumann, Mr. John D",1,0,0,0,PC 17318,25.925,0,1
170,0,3,"Ling, Mr. Lee",1,28,0,0,1601,56.4958,0,1
171,0,1,"Van der hoef, Mr. Wyckoff",1,61,0,0,111240,33.5,2,1
172,0,3,"Rice, Master. Arthur",1,4,4,1,382652,29.125,0,3
173,1,3,"Johnson, Miss. Eleanor Ileen",2,1,1,1,347742,11.1333,0,1
174,0,3,"Sivola, Mr. Antti Wilhelm",1,21,0,0,STON/O 2. 3101280,7.925,0,1
175,0,1,"Smith, Mr. James Clinch",1,56,0,0,17764,30.6958,1,2
176,0,3,"Klasen, Mr. Klas Albin",1,18,1,1,350404,7.8542,0,1
177,0,3,"Lefebre, Master. Henry Forbes",1,0,3,1,4133,25.4667,0,1
178,0,1,"Isham, Miss. Ann Elizabeth",2,50,0,0,PC 17595,28.7125,3,2
179,0,2,"Hale, Mr. Reginald",1,30,0,0,250653,13,0,1
180,0,3,"Leonard, Mr. Lionel",1,36,0,0,LINE,0,0,1
181,0,3,"Sage, Miss. Constance Gladys",2,0,8,2,CA. 2343,69.55,0,1
182,0,2,"Pernot, Mr. Rene",1,0,0,0,SC/PARIS 2131,15.05,0,2
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",1,9,4,2,347077,31.3875,0,1
184,1,2,"Becker, Master. Richard F",1,1,2,1,230136,39,6,1
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",2,4,0,2,315153,22.025,0,1
186,0,1,"Rood, Mr. Hugh Roscoe",1,0,0,0,113767,50,1,1
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",2,0,1,0,370365,15.5,0,3
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,45,0,0,111428,26.55,0,1
189,0,3,"Bourke, Mr. John",1,40,1,1,364849,15.5,0,3
190,0,3,"Turcin, Mr. Stjepan",1,36,0,0,349247,7.8958,0,1
191,1,2,"Pinsky, Mrs. (Rosa)",2,32,0,0,234604,13,0,1
192,0,2,"Carbines, Mr. William",1,19,0,0,28424,13,0,1
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",2,19,1,0,350046,7.8542,0,1
194,1,2,"Navratil, Master. Michel M",1,3,1,1,230080,26,6,1
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",2,44,0,0,PC 17610,27.7208,2,2
196,1,1,"Lurette, Miss. Elise",2,58,0,0,PC 17569,146.5208,2,2
197,0,3,"Mernagh, Mr. Robert",1,0,0,0,368703,7.75,0,3
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",1,42,0,1,4579,8.4042,0,1
199,1,3,"Madigan, Miss. Margaret ""Maggie""",2,0,0,0,370370,7.75,0,3
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",2,24,0,0,248747,13,0,1
201,0,3,"Vande Walle, Mr. Nestor Cyriel",1,28,0,0,345770,9.5,0,1
202,0,3,"Sage, Mr. Frederick",1,0,8,2,CA. 2343,69.55,0,1
203,0,3,"Johanson, Mr. Jakob Alfred",1,34,0,0,3101264,6.4958,0,1
204,0,3,"Youseff, Mr. Gerious",1,45.5,0,0,2628,7.225,0,2
205,1,3,"Cohen, Mr. Gurshon ""Gus""",1,18,0,0,A/5 3540,8.05,0,1
206,0,3,"Strom, Miss. Telma Matilda",2,2,0,1,347054,10.4625,7,1
207,0,3,"Backstrom, Mr. Karl Alfred",1,32,1,0,3101278,15.85,0,1
208,1,3,"Albimona, Mr. Nassef Cassem",1,26,0,0,2699,18.7875,0,2
209,1,3,"Carr, Miss. Helen ""Ellen""",2,16,0,0,367231,7.75,0,3
210,1,1,"Blank, Mr. Henry",1,40,0,0,112277,31,1,2
211,0,3,"Ali, Mr. Ahmed",1,24,0,0,SOTON/O.Q. 3101311,7.05,0,1
212,1,2,"Cameron, Miss. Clear Annie",2,35,0,0,F.C.C. 13528,21,0,1
213,0,3,"Perkin, Mr. John Henry",1,22,0,0,A/5 21174,7.25,0,1
214,0,2,"Givard, Mr. Hans Kristensen",1,30,0,0,250646,13,0,1
215,0,3,"Kiernan, Mr. Philip",1,0,1,0,367229,7.75,0,3
216,1,1,"Newell, Miss. Madeleine",2,31,1,0,35273,113.275,4,2
217,1,3,"Honkanen, Miss. Eliina",2,27,0,0,STON/O2. 3101283,7.925,0,1
218,0,2,"Jacobsohn, Mr. Sidney Samuel",1,42,1,0,243847,27,0,1
219,1,1,"Bazzani, Miss. Albina",2,32,0,0,11813,76.2917,4,2
220,0,2,"Harris, Mr. Walter",1,30,0,0,W/C 14208,10.5,0,1
221,1,3,"Sunderland, Mr. Victor Francis",1,16,0,0,SOTON/OQ 392089,8.05,0,1
222,0,2,"Bracken, Mr. James H",1,27,0,0,220367,13,0,1
223,0,3,"Green, Mr. George Henry",1,51,0,0,21440,8.05,0,1
224,0,3,"Nenkoff, Mr. Christo",1,0,0,0,349234,7.8958,0,1
225,1,1,"Hoyt, Mr. Frederick Maxfield",1,38,1,0,19943,90,3,1
226,0,3,"Berglund, Mr. Karl Ivar Sven",1,22,0,0,PP 4348,9.35,0,1
227,1,2,"Mellors, Mr. William John",1,19,0,0,SW/PP 751,10.5,0,1
228,0,3,"Lovell, Mr. John Hall (""Henry"")",1,20.5,0,0,A/5 21173,7.25,0,1
229,0,2,"Fahlstrom, Mr. Arne Jonas",1,18,0,0,236171,13,0,1
230,0,3,"Lefebre, Miss. Mathilde",2,0,3,1,4133,25.4667,0,1
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",2,35,1,0,36973,83.475,3,1
232,0,3,"Larsson, Mr. Bengt Edvin",1,29,0,0,347067,7.775,0,1
233,0,2,"Sjostedt, Mr. Ernst Adolf",1,59,0,0,237442,13.5,0,1
234,1,3,"Asplund, Miss. Lillian Gertrud",2,5,4,2,347077,31.3875,0,1
235,0,2,"Leyson, Mr. Robert William Norman",1,24,0,0,C.A. 29566,10.5,0,1
236,0,3,"Harknett, Miss. Alice Phoebe",2,0,0,0,W./C. 6609,7.55,0,1
237,0,2,"Hold, Mr. Stephen",1,44,1,0,26707,26,0,1
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",2,8,0,2,C.A. 31921,26.25,0,1
239,0,2,"Pengelly, Mr. Frederick William",1,19,0,0,28665,10.5,0,1
240,0,2,"Hunt, Mr. George Henry",1,33,0,0,SCO/W 1585,12.275,0,1
241,0,3,"Zabour, Miss. Thamine",2,0,1,0,2665,14.4542,0,2
242,1,3,"Murphy, Miss. Katherine ""Kate""",2,0,1,0,367230,15.5,0,3
243,0,2,"Coleridge, Mr. Reginald Charles",1,29,0,0,W./C. 14263,10.5,0,1
244,0,3,"Maenpaa, Mr. Matti Alexanteri",1,22,0,0,STON/O 2. 3101275,7.125,0,1
245,0,3,"Attalah, Mr. Sleiman",1,30,0,0,2694,7.225,0,2
246,0,1,"Minahan, Dr. William Edward",1,44,2,0,19928,90,3,3
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",2,25,0,0,347071,7.775,0,1
248,1,2,"Hamalainen, Mrs. William (Anna)",2,24,0,2,250649,14.5,0,1
249,1,1,"Beckwith, Mr. Richard Leonard",1,37,1,1,11751,52.5542,4,1
250,0,2,"Carter, Rev. Ernest Courtenay",1,54,1,0,244252,26,0,1
251,0,3,"Reed, Mr. James George",1,0,0,0,362316,7.25,0,1
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",2,29,1,1,347054,10.4625,7,1
253,0,1,"Stead, Mr. William Thomas",1,62,0,0,113514,26.55,3,1
254,0,3,"Lobb, Mr. William Arthur",1,30,1,0,A/5. 3336,16.1,0,1
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",2,41,0,2,370129,20.2125,0,1
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",2,29,0,2,2650,15.2458,0,2
257,1,1,"Thorne, Mrs. Gertrude Maybelle",2,0,0,0,PC 17585,79.2,0,2
258,1,1,"Cherry, Miss. Gladys",2,30,0,0,110152,86.5,2,1
259,1,1,"Ward, Miss. Anna",2,35,0,0,PC 17755,512.3292,0,2
260,1,2,"Parrish, Mrs. (Lutie Davis)",2,50,0,1,230433,26,0,1
261,0,3,"Smith, Mr. Thomas",1,0,0,0,384461,7.75,0,3
262,1,3,"Asplund, Master. Edvin Rojj Felix",1,3,4,2,347077,31.3875,0,1
263,0,1,"Taussig, Mr. Emil",1,52,1,1,110413,79.65,5,1
264,0,1,"Harrison, Mr. William",1,40,0,0,112059,0,2,1
265,0,3,"Henry, Miss. Delia",2,0,0,0,382649,7.75,0,3
266,0,2,"Reeves, Mr. David",1,36,0,0,C.A. 17248,10.5,0,1
267,0,3,"Panula, Mr. Ernesti Arvid",1,16,4,1,3101295,39.6875,0,1
268,1,3,"Persson, Mr. Ernst Ulrik",1,25,1,0,347083,7.775,0,1
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",2,58,0,1,PC 17582,153.4625,3,1
270,1,1,"Bissette, Miss. Amelia",2,35,0,0,PC 17760,135.6333,3,1
271,0,1,"Cairns, Mr. Alexander",1,0,0,0,113798,31,0,1
272,1,3,"Tornquist, Mr. William Henry",1,25,0,0,LINE,0,0,1
273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",2,41,0,1,250644,19.5,0,1
274,0,1,"Natsch, Mr. Charles H",1,37,0,1,PC 17596,29.7,3,2
275,1,3,"Healy, Miss. Hanora ""Nora""",2,0,0,0,370375,7.75,0,3
276,1,1,"Andrews, Miss. Kornelia Theodosia",2,63,1,0,13502,77.9583,4,1
277,0,3,"Lindblom, Miss. Augusta Charlotta",2,45,0,0,347073,7.75,0,1
278,0,2,"Parkes, Mr. Francis ""Frank""",1,0,0,0,239853,0,0,1
279,0,3,"Rice, Master. Eric",1,7,4,1,382652,29.125,0,3
280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",2,35,1,1,C.A. 2673,20.25,0,1
281,0,3,"Duane, Mr. Frank",1,65,0,0,336439,7.75,0,3
282,0,3,"Olsson, Mr. Nils Johan Goransson",1,28,0,0,347464,7.8542,0,1
283,0,3,"de Pelsmaeker, Mr. Alfons",1,16,0,0,345778,9.5,0,1
284,1,3,"Dorking, Mr. Edward Arthur",1,19,0,0,A/5. 10482,8.05,0,1
285,0,1,"Smith, Mr. Richard William",1,0,0,0,113056,26,1,1
286,0,3,"Stankovic, Mr. Ivan",1,33,0,0,349239,8.6625,0,2
287,1,3,"de Mulder, Mr. Theodore",1,30,0,0,345774,9.5,0,1
288,0,3,"Naidenoff, Mr. Penko",1,22,0,0,349206,7.8958,0,1
289,1,2,"Hosono, Mr. Masabumi",1,42,0,0,237798,13,0,1
290,1,3,"Connolly, Miss. Kate",2,22,0,0,370373,7.75,0,3
291,1,1,"Barber, Miss. Ellen ""Nellie""",2,26,0,0,19877,78.85,0,1
292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",2,19,1,0,11967,91.0792,2,2
293,0,2,"Levy, Mr. Rene Jacques",1,36,0,0,SC/Paris 2163,12.875,4,2
294,0,3,"Haas, Miss. Aloisia",2,24,0,0,349236,8.85,0,1
295,0,3,"Mineff, Mr. Ivan",1,24,0,0,349233,7.8958,0,1
296,0,1,"Lewy, Mr. Ervin G",1,0,0,0,PC 17612,27.7208,0,2
297,0,3,"Hanna, Mr. Mansour",1,23.5,0,0,2693,7.2292,0,2
298,0,1,"Allison, Miss. Helen Loraine",2,2,1,2,113781,151.55,3,1
600,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",1,49,1,0,PC 17485,56.9292,1,2
601,1,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",2,24,2,1,243847,27,0,1
602,0,3,"Slabenoff, Mr. Petco",1,0,0,0,349214,7.8958,0,1
603,0,1,"Harrington, Mr. Charles H",1,0,0,0,113796,42.4,0,1
604,0,3,"Torber, Mr. Ernst William",1,44,0,0,364511,8.05,0,1
605,1,1,"Homer, Mr. Harry (""Mr E Haven"")",1,35,0,0,111426,26.55,0,2
606,0,3,"Lindell, Mr. Edvard Bengtsson",1,36,1,0,349910,15.55,0,1
607,0,3,"Karaic, Mr. Milan",1,30,0,0,349246,7.8958,0,1
